text,label,intent_name
I made a purchase with my card and I was charged a fee for using it,15,card_payment_fee_charged
The ATM is showing it gave me the money I requested but I didn't get that amount.,75,wrong_amount_of_cash_received
Is there a reason my top-up has been cancelled?,61,top_up_reverted
I just replaced my phone but how do I use my card information?,42,lost_or_stolen_phone
Does Apple Watch support the topping-off of my account?,2,apple_pay_or_google_pay
I am worried that too much time has gone by for a transfer to be completed.,66,transfer_not_received_by_recipient
my statement contains an unknown payment,16,card_payment_not_recognised
The app is showing a payment I never made.,16,card_payment_not_recognised
Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it?,28,direct_debit_payment_not_recognised
What should I do if my card payment was cancelled?,53,reverted_card_payment?
Explain why my top up would be reverted.,61,top_up_reverted
"Help!  I fear that my card was stolen,",41,lost_or_stolen_card
i tried to withdraw money but was told i didn't have funds,26,declined_cash_withdrawal
Where can I find top up by cash deposit?,58,top_up_by_cash_or_cheque
I got double charged!,63,transaction_charged_twice
"I am seeing in the app, some cash witdhrawals that I did not authorize.",20,cash_withdrawal_not_recognised
How long does it take for a new card to ship?,11,card_arrival
there were two of the same charge to my account,63,transaction_charged_twice
"I am at the ATM and tried to withdraw 30 pounds and it only gave me 10 pounds, what do I do?",75,wrong_amount_of_cash_received
I think that my card has been stolen!,41,lost_or_stolen_card
Can I auto top-up as much as I want?,4,automatic_top_up
What is the verification code for my top up card?,71,verify_top_up
What are age requirements for opening an account?,1,age_limit
I'm unhappy with the exchange rate your cash transactions.,76,wrong_exchange_rate_for_cash_withdrawal
My top-up didn't go through; it still says pending. What's up with that?,47,pending_top_up
Will my transfer be done soon?,48,pending_transfer
I think the exchange rate for the cash I withdrew was wrong.,76,wrong_exchange_rate_for_cash_withdrawal
Why did they charge me an extra $1?,34,extra_charge_on_statement
how do I get a disposable virtual card?,37,get_disposable_virtual_card
Please explain to me how to know where my funds are from.,70,verify_source_of_funds
"I don't know what my passcode is, can you help?",44,passcode_forgotten
I want to be sure that everything is okay here. I just made a transfer from a UK account and it is still not showing up. How long does this typically take?,5,balance_not_updated_after_bank_transfer
"I attempted to top up my car today, it failed! I just got it a couple of days before and it worked then. What is going on with it?",59,top_up_failed
I am 16 and just started working at McDonalds can I deposit my checks at your bank?,1,age_limit
"Is it possible to go ahead and log in, although I have not been confirmed yet?",74,why_verify_identity
how do i get a refund for a direct debit payment i didn't make,28,direct_debit_payment_not_recognised
How do I know if i need a disposable card?,37,get_disposable_virtual_card
I can't find my refund. Please help.,51,Refund_not_showing_up
There is a payment that I was charged two times for.,63,transaction_charged_twice
Can I change my PIN at a nearby ATM when in Spain? I think someone saw my PIN and I need to change it but am on vacation.,21,change_pin
Can this app take my salary?,50,receiving_money
Why does is payment not going through? Did my account get frozen or some other issue I don't know about. What can I do to fix this problem?,25,declined_card_payment
What are the requirements to open an account for a minor?,1,age_limit
I tired but an unable to activate my card.,0,activate_my_card
Why am I being charge a fee when using an ATM?,19,cash_withdrawal_charge
I was not able to receive the correct amount of cash.,75,wrong_amount_of_cash_received
What is the charge for receiving a SEPA transfer?,56,top_up_by_bank_transfer_charge
I want to get few more physical cards,39,getting_spare_card
In what way can I change my PIN and where do I need to be?,21,change_pin
My payment was stopped,53,reverted_card_payment?
I asked for more cash than what was received,75,wrong_amount_of_cash_received
What's going on with my balance? Shouldn't it be a bit higher since I deposited a cheque a day ago?,6,balance_not_updated_after_cheque_or_cash_deposit
"I received a fee for obtaining cash, is this correct?",19,cash_withdrawal_charge
I need my card immediately.,12,card_delivery_estimate
"I only have one more US credit card, is it accepted?",54,supported_cards_and_currencies
what steps do you take to check identity,69,verify_my_identity
I didn't set up the direct debit I have,28,direct_debit_payment_not_recognised
Will there be a charge for exchanging foreign currency?,31,exchange_charge
Can I add to my account using a cheque?,58,top_up_by_cash_or_cheque
Money was transferred to me and I am unable to see it,48,pending_transfer
I changed my mind on something I purchased through you and I need the transaction canceled and a refund as soon as possible. Can you help me please?,52,request_refund
"What are my options for topping up, automatic and/or manual?",4,automatic_top_up
I tried to withdraw cash from your ATM but my transaction was cancelled.,26,declined_cash_withdrawal
How do I delete an account?,55,terminate_account
I need to get hold of a physical card?,43,order_physical_card
Can I get a card if I don't reside in the UK?,24,country_support
There's a cash withdrawal I didn't make,20,cash_withdrawal_not_recognised
Where is the cash I deposited?,6,balance_not_updated_after_cheque_or_cash_deposit
How can I change my password?,44,passcode_forgotten
I can't find the top-up card verification code.,71,verify_top_up
I just got an error message saying my transfer is not possible? Why is that? I've transferred money before and it worked without problem,7,beneficiary_not_allowed
Where can I find the exchange rate for my transfer?,32,exchange_rate
Can I have more physical cards?,39,getting_spare_card
Can I unblock my PIN in the app?,49,pin_blocked
What will my exchange rate be?,32,exchange_rate
"What, if any, is the limit  for auto top-up?",4,automatic_top_up
What countries are you available in?,24,country_support
Can I change my name?  I am not married.,30,edit_personal_details
How many times can I make a top-up?,60,top_up_limits
"There is a pending transaction on my account, what does this mean?",45,pending_card_payment
I just realized I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow.,8,cancel_transfer
Can I have more disposable cards?,29,disposable_card_limits
I'm going to cancel a purchase.,52,request_refund
